id,game_id,row,col,player,created_at
14,2,9,9,black,2025-05-14 03:37:41
15,2,10,11,white,2025-05-14 03:37:41
16,2,10,9,black,2025-05-14 03:37:43
17,2,8,9,white,2025-05-14 03:37:43
18,2,9,10,black,2025-05-14 03:37:45
19,2,9,8,white,2025-05-14 03:37:46
20,2,7,10,black,2025-05-14 03:37:49
21,2,8,11,white,2025-05-14 03:37:49
22,2,8,10,black,2025-05-14 03:37:51
23,2,6,10,white,2025-05-14 03:37:51
24,2,8,8,black,2025-05-14 03:37:55
25,2,10,10,white,2025-05-14 03:37:55
26,2,11,8,black,2025-05-14 03:37:59
27,2,7,11,white,2025-05-14 03:37:59
28,2,9,11,black,2025-05-14 03:38:01
29,2,12,7,white,2025-05-14 03:38:01
30,2,9,7,black,2025-05-14 03:38:05
31,2,11,7,white,2025-05-14 03:38:05
32,2,10,7,black,2025-05-14 03:38:08
33,2,10,6,white,2025-05-14 03:38:08
34,2,9,6,black,2025-05-14 03:38:12
35,2,12,9,white,2025-05-14 03:38:12
36,2,8,5,black,2025-05-14 03:38:14
37,2,7,4,white,2025-05-14 03:38:14
38,2,12,8,black,2025-05-14 03:38:17
39,2,8,7,white,2025-05-14 03:38:17
40,2,7,6,black,2025-05-14 03:38:21
41,2,9,4,white,2025-05-14 03:38:21
42,2,8,4,black,2025-05-14 03:38:24
43,2,7,9,white,2025-05-14 03:38:24
44,2,7,7,black,2025-05-14 03:38:31
45,2,6,6,white,2025-05-14 03:38:31
46,2,9,5,black,2025-05-14 03:38:34
47,2,7,5,white,2025-05-14 03:38:34
48,2,8,3,black,2025-05-14 03:38:38
49,2,8,2,white,2025-05-14 03:38:38
50,2,10,3,black,2025-05-14 03:38:42
51,2,13,8,white,2025-05-14 03:38:42
52,2,11,10,black,2025-05-14 03:38:47
53,2,11,6,white,2025-05-14 03:38:47
54,2,10,5,black,2025-05-14 03:38:49
55,2,12,5,white,2025-05-14 03:38:49
56,2,11,4,black,2025-05-14 03:38:54
57,2,12,3,white,2025-05-14 03:38:54
58,2,12,4,black,2025-05-14 03:38:57
59,2,9,13,white,2025-05-14 03:38:57
60,2,13,4,black,2025-05-14 03:39:03
61,2,8,12,white,2025-05-14 03:39:03
62,2,14,4,black,2025-05-14 03:39:05
63,2,15,4,white,2025-05-14 03:39:06
64,2,10,4,black,2025-05-14 03:39:07
129,9,5,13,black,2025-05-14 03:59:52
130,9,9,8,white,2025-05-14 03:59:53
131,9,10,16,black,2025-05-14 03:59:53
132,9,10,8,white,2025-05-14 03:59:53
133,9,0,5,black,2025-05-14 03:59:53
134,9,11,8,white,2025-05-14 03:59:54
135,9,12,7,black,2025-05-14 03:59:54
136,9,12,8,white,2025-05-14 03:59:54
137,9,4,1,black,2025-05-14 03:59:54
138,9,13,8,white,2025-05-14 03:59:55
139,10,8,4,black,2025-05-14 04:31:40
140,10,0,0,white,2025-05-14 04:31:42
141,10,18,6,black,2025-05-14 04:31:42
142,10,0,18,white,2025-05-14 04:31:47
143,10,6,12,black,2025-05-14 04:31:47
144,10,18,18,white,2025-05-14 04:31:48
145,10,16,10,black,2025-05-14 04:31:48
146,10,18,0,white,2025-05-14 04:31:50
147,10,4,4,black,2025-05-14 04:31:50
148,10,1,0,white,2025-05-14 04:31:53
149,10,2,1,black,2025-05-14 04:31:53
150,10,3,0,white,2025-05-14 04:31:54
151,10,11,15,black,2025-05-14 04:31:54
152,10,2,0,white,2025-05-14 04:31:54
153,10,10,14,black,2025-05-14 04:31:54
154,10,4,0,white,2025-05-14 04:31:55
